,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor
2746,2746,4-комнатная квартира · 87.3 м² · 3/5 этаж,90000000,"Медеуский р-н, Жибек Жолы 13/5 — Бузурбаева",4,87.3,3
2747,2747,3-комнатная квартира · 65 м² · 10/10 этаж,27500000,"Алатауский р-н, мкр Аккент, Мкр. Аккент",3,65.0,10
2748,2748,1-комнатная квартира · 40 м² · 1/9 этаж,22000000,"Алатауский р-н, мкр Зердели 1/182",1,40.0,1
2749,2749,3-комнатная квартира · 75.5 м² · 7/9 этаж,48800000,"Ауэзовский р-н, мкр Аксай-3Б 32 — CarCity",3,75.5,7
2750,2750,3-комнатная квартира · 78 м² · 3/5 этаж,36500000,"Алатауский р-н, мкр Саялы",3,78.0,3
2751,2751,3-комнатная квартира · 94 м² · 13/13 этаж,72000000,"Ауэзовский р-н, 1/18 — Саина Шаляпина",3,94.0,13
2752,2752,1-комнатная квартира · 41.9 м² · 1/5 этаж,32500000,"Бостандыкский р-н, жандосова 35",1,41.9,1
2753,2753,3-комнатная квартира · 58 м² · 4/4 этаж,33600000,"Ауэзовский р-н, мкр №1 59",3,58.0,4
2754,2754,2-комнатная квартира · 49.2 м² · 11/16 этаж,33000000,"Бостандыкский р-н, Жандосова 94А",2,49.2,11
2755,2755,4-комнатная квартира · 87 м² · 14/16 этаж,78000000,"Бостандыкский р-н, байсеитовой 42 — сатпаева назарбаева",4,87.0,14
2756,2756,3-комнатная квартира · 55.1 м² · 1/4 этаж,36000000,"Алмалинский р-н, Нурмакова 52",3,55.1,1
2757,2757,2-комнатная квартира · 48 м² · 4/5 этаж,55000000,"Алмалинский р-н, Карасай батыра — Карасай батыра угол Жумалиева",2,48.0,4
2758,2758,2-комнатная квартира · 66 м² · 3/17 этаж,47000000,"Ауэзовский р-н, Жандосова 144/1",2,66.0,3
2759,2759,3-комнатная квартира · 90.8 м² · 13/17 этаж,79500000,"Ауэзовский р-н, мкр Таугуль-1, Навои 9/1 — Навои 39 блок 13",3,90.8,13
2760,2760,2-комнатная квартира · 44 м² · 3/5 этаж,23000000,"Турксибский р-н, Коломенская 3 — Осипенко",2,44.0,3
2761,2761,3-комнатная квартира · 90 м² · 4/12 этаж,140000000,"Бостандыкский р-н, Розыбакиева 343 — Ескараева",3,90.0,4
2762,2762,2-комнатная квартира · 75 м² · 1/7 этаж,80000000,"Бостандыкский р-н, мкр Мирас, Мкр. Мирас",2,75.0,1
2763,2763,2-комнатная квартира · 54.5 м² · 5/12 этаж,35000000,"Алатауский р-н, мкр Дарабоз",2,54.5,5
2764,2764,3-комнатная квартира · 108 м² · 9/13 этаж,72500000,"Ауэзовский р-н, мкр Аксай-5, Садвакасова",3,108.0,9
2765,2765,1-комнатная квартира · 41.7 м² · 5/9 этаж,28000000,"Наурызбайский р-н, мкр Шугыла, мкр. Шугыла",1,41.7,5
2766,2766,1-комнатная квартира · 57.1 м² · 7/19 этаж,51396000,"Бостандыкский р-н, Жарокова 218 — Утепова",1,57.1,7
2767,2767,4-комнатная квартира · 161 м² · 2/3 этаж,95000000,"Бостандыкский р-н, мкр Нур Алатау, 13 34",4,161.0,2
2768,2768,3-комнатная квартира · 70 м² · 8/8 этаж,45000000,"Бостандыкский р-н, мкр Орбита-2 10 — Навои Альфараби",3,70.0,8
2769,2769,1-комнатная квартира · 37 м² · 4/12 этаж,26500000,"Алатауский р-н, мкр Акбулак, 1-я улица 91",1,37.0,4
2770,2770,1-комнатная квартира · 31 м² · 2/5 этаж,27000000,"Бостандыкский р-н, мкр Орбита-2 2",1,31.0,2
2771,2771,2-комнатная квартира · 62 м² · 1/9 этаж,43000000,"Ауэзовский р-н, мкр Жетысу-2 52",2,62.0,1
2772,2772,1-комнатная квартира · 31.9 м² · 5/5 этаж,25000000,"Алмалинский р-н, Гагарина — Гагарина/Толе би",1,31.9,5
2773,2773,3-комнатная квартира · 92 м² · 5/6 этаж,58000000,"Медеуский р-н, Нусупбекова 10",3,92.0,5
2774,2774,3-комнатная квартира · 79 м² · 9/9 этаж,45000000,"Турксибский р-н, мкр Жас Канат, ПК Кунаева 336",3,79.0,9
2775,2775,2-комнатная квартира · 41 м² · 1/3 этаж,29900000,"Бостандыкский р-н, Жандосова 15 — Ауэзова Жандосова Жарокова",2,41.0,1
2776,2776,3-комнатная квартира · 105 м² · 11/13 этаж,89000000,"Бостандыкский р-н, Навои 208 — Торайгырова",3,105.0,11
2777,2777,2-комнатная квартира · 108 м² · 9/13 этаж,89000000,"Бостандыкский р-н, Маркова 61",2,108.0,9
2778,2778,2-комнатная квартира · 64 м² · 11/13 этаж,50000000,"Алмалинский р-н, Макатаева 127/11 — Шарипова",2,64.0,11
