Title,Price,Location,Rooms,Area,Floor,Price_per_m2,Segment,FloorCategory,AreaCategory
Отдельный дом · 3 комнаты · 50.2 м² · 514 сот.,17000000.0,"мкр Жетысу, М. Маметова 8 — Желтоксан район стадиона",3,50.2,1,338645.4183266932,комфорт,низкий,средняя
Отдельный дом · 6 комнат · 320 м² · 10 сот.,69990000.0,Турана Рыскулова 2,6,320.0,1,218718.75,комфорт,низкий,большая
Отдельный дом · 3 комнаты · 140 м² · 11 сот.,28500000.0,"жилой массив Заречный-3, Жансүгурова 55",3,140.0,1,203571.42857142858,комфорт,низкий,большая
Отдельный дом · 3 комнаты · 80 м² · 2 сот.,19000000.0,Силовая 1,3,80.0,1,237500.0,комфорт,низкий,средняя
Отдельный дом · 4 комнаты · 101 м² · 8.9 сот.,78000000.0,"Наурызбайский р-н, мкр Акжар 8 — Жибекбаева",4,101.0,1,772277.2277227723,элит,низкий,большая
Отдельный дом · 6 комнат · 250 м² · 9 сот.,135000000.0,Алтынсарина 64 — Возле школы,6,250.0,1,540000.0,элит,низкий,большая
Отдельный дом · 5 комнат · 116 м² · 9 сот.,31000000.0,Сейфулина 16 — Юбелейная,5,116.0,1,267241.3793103448,комфорт,низкий,большая
Отдельный дом · 6 комнат · 234 м² · 10 сот.,118000000.0,"Алатауский р-н, мкр Акбулак — Чуланова",6,234.0,1,504273.50427350425,элит,низкий,большая
Отдельный дом · 3 комнаты · 67 м² · 10 сот.,17000000.0,Сопочная 2А,3,67.0,1,253731.3432835821,комфорт,низкий,средняя
Отдельный дом · 3 комнаты · 55.4 м² · 4.15 сот.,50000000.0,"Турксибский р-н, Нурсая 69",3,55.4,1,902527.0758122744,элит,низкий,средняя
Отдельный дом · 3 комнаты · 55.4 м² · 4.15 сот.,50000000.0,"Турксибский р-н, Нурсая 69",3,55.4,1,902527.0758122744,элит,низкий,средняя
Отдельный дом · 4 комнаты · 150 м² · 8 сот.,41999999.0,Овражная 24 а,4,150.0,1,279999.99333333335,комфорт,низкий,большая
Отдельный дом · 3 комнаты · 52 м² · 9 сот.,16000000.0,"Казыбек би р-н, мкр Новый Город — Ярославская уг. Гоголя",3,52.0,1,307692.3076923077,комфорт,низкий,средняя
Отдельный дом · 5 комнат · 212 м² · 11 сот.,45000000.0,Ск Керамика,5,212.0,1,212264.15094339623,комфорт,низкий,большая
Отдельный дом · 5 комнат · 180 м² · 10 сот.,50000000.0,Жаңа Ғасыр 149,5,180.0,1,277777.77777777775,комфорт,низкий,большая
Отдельный дом · 6 комнат · 218.5 м² · 4 сот.,49000000.0,"Алатауский р-н, мкр Мадениет — Дукенбай Досжан 28",6,218.5,1,224256.29290617848,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 151 м² · 4 сот.,42000000.0,Карева 26 — Аманжолова,4,151.0,1,278145.6953642384,комфорт,низкий,большая
Отдельный дом · 2 комнаты · 80 м² · 30 сот.,15000000.0,Абдикова 83 — Кенжеколь,2,80.0,1,187500.0,комфорт,низкий,средняя
Отдельный дом · 3 комнаты · 102 м² · 8 сот.,14800000.0,"Сарыарка р-н, Жетисай 69",3,102.0,1,145098.03921568627,комфорт,низкий,большая
Часть дома · 4 комнаты · 100 м² · 18 сот.,23000000.0,"Пушкина 500 — Магазин Салем,стадион",4,100.0,1,230000.0,комфорт,низкий,средняя
Дача · 3 комнаты · 30 м² · 15 сот.,8000000.0,Восточник 4,3,30.0,1,266666.6666666667,комфорт,низкий,малая
Отдельный дом · 7 комнат · 280 м² · 1180 сот.,68000000.0,Белинского 15,7,280.0,1,242857.14285714287,комфорт,низкий,большая
Отдельный дом · 10 комнат · 250 м² · 6 сот.,35000000.0,"Аль-Фарабийский р-н, мкр Сауле , Тараз 93 — Остановка БИРЛИК",10,250.0,1,140000.0,комфорт,низкий,большая
Отдельный дом · 7 комнат · 170 м² · 8 сот.,48000000.0,"Абайский р-н, мкр Самал-3, Самал-3 ш/а. 56 — 87 мектептің артында",7,170.0,1,282352.9411764706,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 140 м² · 6 сот.,28000000.0,15линия 16,4,140.0,1,200000.0,комфорт,низкий,большая
Отдельный дом · 2 комнаты · 47 м² · 15 сот.,12000000.0,Набережная 7,2,47.0,1,255319.1489361702,комфорт,низкий,малая
Отдельный дом · 4 комнаты · 129 м² · 3.6 сот.,42500000.0,"мкр Центральный, улица Махамбета Утемисова",4,129.0,1,329457.36434108525,комфорт,низкий,большая
Дача · 3 комнаты · 300 м² · 3 сот.,12000000.0,Карасай ауданы ұмтылский округ Алмалыбақ ауылы Юбилейное 159,3,300.0,1,40000.0,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 109 м² · 6 сот.,70000000.0,"Алатауский р-н, мкр Шапагат — Коктем",4,109.0,1,642201.8348623853,элит,низкий,большая
Отдельный дом · 5 комнат · 195 м² · 25 сот.,40000000.0,Рабочая 2б,5,195.0,1,205128.20512820513,комфорт,низкий,большая
Отдельный дом · 7 комнат · 236 м² · 4 сот.,100000000.0,"Ауэзовский р-н, мкр Достык — Яссауи - Абая",7,236.0,1,423728.81355932204,комфорт,низкий,большая
Отдельный дом · 6 комнат · 200 м² · 10 сот.,120000000.0,"Туран р-н, Байыркум 564 — Учебного центра Зерде",6,200.0,1,600000.0,элит,низкий,большая
Отдельный дом · 7 комнат · 331 м² · 6 сот.,60000000.0,"мкр. Сельмаш, Жаманкулова",7,331.0,1,181268.88217522658,комфорт,низкий,большая
Отдельный дом · 7 комнат · 170 м² · 10 сот.,35000000.0,"Кокшетау , ( Алаш 55) 1 — Напротив ресторана White Hall",7,170.0,1,205882.35294117648,комфорт,низкий,большая
Отдельный дом · 6 комнат · 295 м² · 10 сот.,77000000.0,Ауэзова 123а,6,295.0,1,261016.94915254237,комфорт,низкий,большая
Отдельный дом · 3 комнаты · 80 м² · 7 сот.,13000000.0,Жомарт 49 — 9 линия,3,80.0,1,162500.0,комфорт,низкий,средняя
