Unnamed: 0.1,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor,District,Street,Price_per_m2,Segment,FloorCategory,AreaCategory
2571,2571,3-комнатная квартира · 73 м² · 3/13 этаж,55000000,"Жетысуский р-н, Просп. Назарбаева 28 — Райымбека",3,73.0,3,Жетысуский р-н,Просп. Назарбаева 28 — Райымбека,753424.6575342466,элит,низкий,средняя
2572,2572,2-комнатная квартира · 60 м² · 1/10 этаж,35000000,"Наурызбайский р-н, мкр Шугыла, Алатау 340/35 к4",2,60.0,1,Наурызбайский р-н,"мкр Шугыла, Алатау 340/35 к4",583333.3333333334,комфорт,низкий,средняя
2573,2573,3-комнатная квартира · 59.2 м² · 4/5 этаж,36700000,"Медеуский р-н, Райымбек батыра — Кунаева",3,59.2,4,Медеуский р-н,Райымбек батыра — Кунаева,619932.4324324324,комфорт,средний,средняя
2574,2574,1-комнатная квартира · 29.22 м² · 14/17 этаж,18200000,"Алмалинский р-н, Ауэзова 2А — Гоголя- Ауэзова",1,29.22,14,Алмалинский р-н,Ауэзова 2А — Гоголя- Ауэзова,622861.0540725531,комфорт,высокий,малая
2575,2575,2-комнатная квартира · 51 м² · 5/6 этаж,32000000,"Алатауский р-н, мкр Нуркент, Мкр Нуркент (Алгабас-1) 9 — Алматы Арена Момышулы",2,51.0,5,Алатауский р-н,"мкр Нуркент, Мкр Нуркент (Алгабас-1) 9 — Алматы Арена Момышулы",627450.9803921569,комфорт,средний,средняя
2576,2576,3-комнатная квартира · 90 м² · 9/10 этаж,58000000,"Ауэзовский р-н, мкр Аксай-5, Момышулы 25 — Жубанова",3,90.0,9,Ауэзовский р-н,"мкр Аксай-5, Момышулы 25 — Жубанова",644444.4444444445,комфорт,высокий,большая
2577,2577,2-комнатная квартира · 48 м² · 5/9 этаж,31000000,"Турксибский р-н, мкр Алтай-1 77 — Майлина",2,48.0,5,Турксибский р-н,мкр Алтай-1 77 — Майлина,645833.3333333334,комфорт,средний,малая
2578,2578,3-комнатная квартира · 73.5 м² · 2/10 этаж,30000000,"Алатауский р-н, Северное кольцо 92/2",3,73.5,2,Алатауский р-н,Северное кольцо 92/2,408163.2653061224,комфорт,низкий,средняя
2579,2579,1-комнатная квартира · 48 м² · 7/17 этаж,33000000,"Ауэзовский р-н, мкр Таугуль, Жандосова",1,48.0,7,Ауэзовский р-н,"мкр Таугуль, Жандосова",687500.0,комфорт,средний,малая
2580,2580,3-комнатная квартира · 85.13 м² · 3/3 этаж,56000000,"Наурызбайский р-н, Сейдимбек 25/44",3,85.13,3,Наурызбайский р-н,Сейдимбек 25/44,657817.4556560555,комфорт,низкий,большая
2581,2581,1-комнатная квартира · 33.2 м² · 5/5 этаж,26500000,"Алмалинский р-н, Макатаева",1,33.2,5,Алмалинский р-н,Макатаева,798192.7710843373,элит,средний,малая
2582,2582,2-комнатная квартира · 56.8 м² · 5/6 этаж,29500000,"Алатауский р-н, мкр Нуркент, Мкр Нуркент (Алгабас-1) 19",2,56.8,5,Алатауский р-н,"мкр Нуркент, Мкр Нуркент (Алгабас-1) 19",519366.19718309864,комфорт,средний,средняя
2583,2583,2-комнатная квартира · 60 м² · 6/10 этаж,35000000,"Наурызбайский р-н, Алтын Орда",2,60.0,6,Наурызбайский р-н,Алтын Орда,583333.3333333334,комфорт,средний,средняя
2584,2584,2-комнатная квартира · 55 м² · 3/10 этаж,35000000,"Ауэзовский р-н, мкр Аксай-5 25 — Жубанова",2,55.0,3,Ауэзовский р-н,мкр Аксай-5 25 — Жубанова,636363.6363636364,комфорт,низкий,средняя
2585,2585,1-комнатная квартира · 35 м² · 5/5 этаж,19500000,"Турксибский р-н, Сейфулина 1/5 — Вогзал",1,35.0,5,Турксибский р-н,Сейфулина 1/5 — Вогзал,557142.8571428572,комфорт,средний,малая
2586,2586,2-комнатная квартира · 55.8 м² · 8/9 этаж,37000000,"Алмалинский р-н, мкр Тастак-2 30 — Ташкентский Брусиловский 30",2,55.8,8,Алмалинский р-н,мкр Тастак-2 30 — Ташкентский Брусиловский 30,663082.4372759857,комфорт,высокий,средняя
2587,2587,1-комнатная квартира · 50 м² · 2/6 этаж,25000000,"Наурызбайский р-н, мкр Шугыла, Дала 2/13 корпус 15",1,50.0,2,Наурызбайский р-н,"мкр Шугыла, Дала 2/13 корпус 15",500000.0,комфорт,низкий,средняя
2588,2588,5-комнатная квартира · 135.7 м² · 2/5 этаж,63200000,"Медеуский р-н, Есенова 15",5,135.7,2,Медеуский р-н,Есенова 15,465733.2350773766,комфорт,низкий,большая
2589,2589,1-комнатная квартира · 47.5 м² · 3/4 этаж,29000000,"Алатауский р-н, мкр Зердели, Мкр Зердели (Алгабас-6) 1",1,47.5,3,Алатауский р-н,"мкр Зердели, Мкр Зердели (Алгабас-6) 1",610526.3157894737,комфорт,низкий,малая
2590,2590,3-комнатная квартира · 57.5 м² · 1/4 этаж,34999000,"Ауэзовский р-н, мкр №2 — Жубанова",3,57.5,1,Ауэзовский р-н,мкр №2 — Жубанова,608678.2608695652,комфорт,низкий,средняя
